İl,İlçe,SEGE_Skor,Hane_Basina_ADSL_Abonesi
İstanbul,Şişli,6.959,1.0306
Ankara,Çankaya,6.901,0.9013
İstanbul,Beşiktaş,5.94,0.9322
İstanbul,Kadıköy,4.91,0.7994
Ankara,Yenimahalle,4.481,0.6809
İstanbul,Bakırköy,4.465,0.7121
İstanbul,Fatih,4.226,0.78
Bursa,Nilüfer,4.072,0.6475
İstanbul,Ataşehir,3.545,0.6413
İstanbul,Başakşehir,3.468,0.6057
İzmir,Konak,3.465,0.6396
İstanbul,Beyoğlu,3.394,0.6016
İstanbul,Ümraniye,3.364,0.65
İstanbul,Sarıyer,3.249,0.6044
Antalya,Muratpaşa,3.173,0.6673
İstanbul,Üsküdar,3.045,0.5462
İzmir,Bornova,3.028,0.5991
İzmir,Balçova,2.902,0.5193
İstanbul,Tuzla,2.73,0.5769
İstanbul,Maltepe,2.685,0.525
Konya,Selçuklu,2.562,0.5161
Ankara,Altındağ,2.528,0.6096
İstanbul,Beylikdüzü,2.503,0.5793
İstanbul,Pendik,2.485,0.5835
Muğla,Bodrum,2.483,0.4653
İstanbul,Esenyurt,2.479,0.5203
Antalya,Konyaaltı,2.465,0.5792
İstanbul,Bahçelievler,2.423,0.5648
İstanbul,Zeytinburnu,2.382,0.4829
Denizli,Merkezefendi,2.375,0.5248
Gaziantep,Şehitkamil,2.375,0.4713
Bursa,Osmangazi,2.374,0.4845
İstanbul,Bağcılar,2.346,0.5788
Kocaeli,Gebze,2.334,0.5209
İstanbul,Kartal,2.321,0.5224
İstanbul,Bayrampaşa,2.266,0.5609
İzmir,Karşıyaka,2.222,0.5528
İstanbul,Kağıthane,2.174,0.4665
İstanbul,Küçükçekmece,2.161,0.5239
Edirne,Merkez,2.113,0.4755
İzmir,Çiğli,2.046,0.5164
Adana,Seyhan,2.043,0.5665
İzmir,Gaziemir,2.031,0.4695
Kocaeli,İzmit,2.023,0.4253
İzmir,Çeşme,1.998,0.5165
Kayseri,Melikgazi,1.983,0.5188
Ankara,Etimesgut,1.957,0.4694
Eskişehir,Odunpazarı,1.95,0.4653
Mersin,Yenişehir,1.948,0.5118
İstanbul,Güngören,1.92,0.4417
İstanbul,Büyükçekmece,1.891,0.4554
İzmir,Güzelbahçe,1.882,0.4239
Çanakkale,Merkez,1.846,0.4223
İstanbul,Eyüpsultan,1.839,0.4288
İstanbul,Adalar,1.822,0.46
Trabzon,Ortahisar,1.807,0.4526
Ankara,Gölbaşı,1.79,0.4499
Kırıkkale,Yahşihan,1.778,0.4486
İzmir,Urla,1.768,0.443
Samsun,Atakum,1.734,0.3866
İstanbul,Beykoz,1.732,0.5295
Erzurum,Yakutiye,1.688,0.5054
Çanakkale,Bozcaada,1.677,0.4998
Antalya,Alanya,1.676,0.4727
Muğla,Marmaris,1.671,0.3841
İstanbul,Avcılar,1.64,0.5037
İzmir,Narlıdere,1.632,0.4929
Manisa,Yunusemre,1.581,0.4484
Tekirdağ,Çorlu,1.577,0.3865
Kocaeli,Başiskele,1.562,0.4345
Kayseri,Kocasinan,1.558,0.4385
Muğla,Menteşe,1.555,0.3751
Isparta,Merkez,1.551,0.448
Antalya,Manavgat,1.538,0.3943
Ankara,Kahramankazan,1.538,0.4946
Adana,Çukurova,1.529,0.4034
Sakarya,Serdivan,1.527,0.4561
Muğla,Fethiye,1.522,0.3672
Aydın,Efeler,1.518,0.4741
Antalya,Kemer,1.501,0.4293
Aydın,Kuşadası,1.495,0.4349
Konya,Karatay,1.481,0.5114
Bolu,Merkez,1.48,0.4408
Eskişehir,Tepebaşı,1.477,0.3589
İstanbul,Gaziosmanpaşa,1.46,0.4224
İstanbul,Çekmeköy,1.45,0.4838
Sakarya,Adapazarı,1.392,0.4878
Antalya,Kepez,1.392,0.4933
Ankara,Keçiören,1.365,0.5046
İstanbul,Esenler,1.354,0.4929
Samsun,İlkadım,1.343,0.4462
İzmir,Bayraklı,1.322,0.3818
Tekirdağ,Süleymanpaşa,1.314,0.4434
İstanbul,Silivri,1.312,0.4761
İstanbul,Sancaktepe,1.275,0.4956
Balıkesir,Altıeylül,1.245,0.3923
Kütahya,Merkez,1.23,0.4335
Denizli,Pamukkale,1.227,0.459
İzmir,Buca,1.227,0.3908
Antalya,Döşemealtı,1.216,0.3986
Uşak,Merkez,1.204,0.4202
Zonguldak,Merkez,1.189,0.4561
Mersin,Akdeniz,1.183,0.4737
Afyonkarahisar,Merkez,1.178,0.421
İzmir,Aliağa,1.154,0.4569
Sakarya,Arifiye,1.148,0.3675
Mersin,Mezitli,1.147,0.4653
Hatay,Antakya,1.146,0.4531
Giresun,Merkez,1.145,0.4548
Sivas,Merkez,1.138,0.3995
Yalova,Merkez,1.137,0.4741
Elazığ,Merkez,1.135,0.4815
Ordu,Altınordu,1.121,0.4504
Kırklareli,Lüleburgaz,1.12,0.4804
Balıkesir,Karesi,1.108,0.3874
Bursa,Yıldırım,1.085,0.3945
Tunceli,Merkez,1.084,0.3278
Nevşehir,Merkez,1.082,0.3654
Rize,Merkez,1.079,0.4722
İzmir,Karabağlar,1.078,0.3812
Balıkesir,Edremit,1.072,0.4454
Balıkesir,Bandırma,1.072,0.3588
Hatay,İskenderun,1.056,0.4099
Konya,Meram,1.053,0.3726
Ankara,Sincan,1.05,0.3345
